v1	Ib(Q1)	Ic(Q1)
Step Information: I1=100µ  (Run: 1/10)
1.010000000000001e+00	2.000000e-04	3.582808e-02
1.020000000000001e+00	2.000000e-04	3.583165e-02
1.030000000000001e+00	2.000000e-04	3.583523e-02
1.040000000000001e+00	2.000000e-04	3.583880e-02
1.050000000000001e+00	2.000000e-04	3.584237e-02
1.060000000000001e+00	2.000000e-04	3.584595e-02
1.070000000000001e+00	2.000000e-04	3.584952e-02
1.080000000000001e+00	2.000000e-04	3.585309e-02
1.090000000000001e+00	2.000000e-04	3.585666e-02
1.100000000000001e+00	2.000000e-04	3.586024e-02
1.110000000000001e+00	2.000000e-04	3.586381e-02
1.120000000000001e+00	2.000000e-04	3.586739e-02
1.130000000000001e+00	2.000000e-04	3.587096e-02
1.140000000000001e+00	2.000000e-04	3.587453e-02
1.150000000000001e+00	2.000000e-04	3.587811e-02
1.160000000000001e+00	2.000000e-04	3.588168e-02
1.170000000000001e+00	2.000000e-04	3.588526e-02
1.180000000000001e+00	2.000000e-04	3.588883e-02
1.190000000000001e+00	2.000000e-04	3.589240e-02
1.200000000000001e+00	2.000000e-04	3.589597e-02
1.210000000000001e+00	2.000000e-04	3.589955e-02
1.220000000000001e+00	2.000000e-04	3.590312e-02
1.230000000000001e+00	2.000000e-04	3.590669e-02
1.240000000000001e+00	2.000000e-04	3.591027e-02
1.250000000000001e+00	2.000000e-04	3.591384e-02
1.260000000000001e+00	2.000000e-04	3.591742e-02
1.270000000000001e+00	2.000000e-04	3.592099e-02
1.280000000000001e+00	2.000000e-04	3.592456e-02
1.290000000000001e+00	2.000000e-04	3.592814e-02
1.300000000000001e+00	2.000000e-04	3.593171e-02
1.310000000000001e+00	2.000000e-04	3.593528e-02
1.320000000000001e+00	2.000000e-04	3.593886e-02
1.330000000000001e+00	2.000000e-04	3.594243e-02
1.340000000000001e+00	2.000000e-04	3.594600e-02
1.350000000000001e+00	2.000000e-04	3.594958e-02
1.360000000000001e+00	2.000000e-04	3.595315e-02
1.370000000000001e+00	2.000000e-04	3.595673e-02
1.380000000000001e+00	2.000000e-04	3.596030e-02
1.390000000000001e+00	2.000000e-04	3.596387e-02
1.400000000000001e+00	2.000000e-04	3.596745e-02
1.410000000000001e+00	2.000000e-04	3.597102e-02
1.420000000000001e+00	2.000000e-04	3.597459e-02
1.430000000000001e+00	2.000000e-04	3.597816e-02
1.440000000000001e+00	2.000000e-04	3.598174e-02
1.450000000000001e+00	2.000000e-04	3.598531e-02
1.460000000000001e+00	2.000000e-04	3.598889e-02
1.470000000000001e+00	2.000000e-04	3.599246e-02
1.480000000000001e+00	2.000000e-04	3.599603e-02
1.490000000000001e+00	2.000000e-04	3.599961e-02
1.500000000000000e+00	2.000000e-04	3.600318e-02
Step Information: I1=300µ  (Run: 3/10)
0.000000000000000e+00	3.000000e-04	-2.926163e-04
1.000000000000000e-02	3.000000e-04	1.119109e-04
2.000000000000000e-02	3.000000e-04	6.852115e-04
3.000000000000000e-02	3.000000e-04	1.485400e-03
4.000000000000000e-02	3.000000e-04	2.580100e-03
5.000000000000000e-02	3.000000e-04	4.040225e-03
6.000000000000000e-02	3.000000e-04	5.929082e-03
